dimMemberTypeID;Region;Suburb;AgeGroup
2942;Auckland;Helensville;40 - 44
3145;Auckland;Hibiscus Coast;55 - 59
3498;Auckland;Waitakere City;35 - 39
3692;Auckland;North Shore;40 - 44
3707;Auckland;North Shore;55 - 59
3708;Auckland;North Shore;55 - 59
3713;Auckland;North Shore;60 - 64
3778;Auckland;North Shore;30 - 34
3787;Auckland;North Shore;40 - 44
3811;Auckland;North Shore;65 - 69
3967;Auckland;Auckland City;35 - 39
4046;Auckland;Auckland City;20 - 24
4060;Auckland;Auckland City;30 - 34
4064;Auckland;Auckland City;35 - 39
4065;Auckland;Auckland City;35 - 39
4136;Auckland;Auckland City;Over 70
4530;Auckland;Manukau City;30 - 34
4544;Auckland;Manukau City;45 - 49
4629;Auckland;Manukau City;35 - 39
4632;Auckland;Manukau City;40 - 44
4646;Auckland;Manukau City;55 - 59
4660;Auckland;Manukau City;Over 70
10746;Bay of Plenty;Tauranga;45 - 49
11987;Bay of Plenty;Rotorua;65 - 69
12819;Bay of Plenty;Mt. Maunganui;50 - 54
26360;Canterbury;Amberley;55 - 59
27191;Canterbury;Christchurch City;40 - 44
27208;Canterbury;Christchurch City;55 - 59
12997;Gisborne;Gisborne;40 - 44
13964;Hawkes Bay;Napier;65 - 69
37347;International;Australia;45 - 49
38474;International;United States;Over 70
39219;International;United Kingdom;Over 70
18060;Manawatu;Palmerston North;25 - 29
18360;Manawatu;Levin;45 - 49
18377;Manawatu;Levin;60 - 64
24090;Marlborough;Blenheim;40 - 44
23242;Nelson Bays;Nelson;40 - 44
23258;Nelson Bays;Nelson;55 - 59
1702;Northland;Kerikeri;25 - 29
34987;Southland;Invercargill;35 - 39
15253;Taranaki;New Plymouth;40 - 44
15364;Taranaki;New Plymouth;55 - 59
7441;Waikato;Hamilton;30 - 34
7457;Waikato;Hamilton;45 - 49
7474;Waikato;Hamilton;60 - 64
20910;Wairarapa;Carterton;55 - 59
20977;Wairarapa;Carterton;30 - 34
21188;Wellington;Kapiti;50 - 54
21728;Wellington;Lower Hutt City;30 - 34
21838;Wellington;Lower Hutt City;45 - 49
22105;Wellington;Upper Hutt City;30 - 34
22112;Wellington;Upper Hutt City;35 - 39
22297;Wellington;Wellington City;35 - 39
22406;Wellington;Wellington City;50 - 54
